epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.352,1.92487,0.60281,0.93497,1.39288,0.067294,0.000164352,0.000164352
2,103.123,1.30664,0.72232,0.98067,0.82974,0.0341164,0.000320095,0.000320095
3,153.379,0.89843,0.8471,0.99649,0.49947,0.000927801,0.000464838,0.000464838
4,206.655,0.6546,0.90422,0.99649,0.31584,0.0004505,0.0004505,0.0004505
5,255.771,0.46074,0.94991,0.99736,0.19169,0.000434,0.000434,0.000434
6,306.087,0.33445,0.971,0.99912,0.11336,0.0004175,0.0004175,0.0004175
7,356.946,0.28239,0.96837,1,0.10555,0.000401,0.000401,0.000401
8,407.802,0.22337,0.98067,1,0.06699,0.0003845,0.0003845,0.0003845
